name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point616331,1138,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point601188,1045,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654295,192,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point600050,1154,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point566482,533,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point667114,542,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point665289,1164,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621370,1128,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point622056,1178,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747266,178,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point615886,67,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point568185,902,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748078,906,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747048,238,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747263,135,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841178,1218,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point659798,314,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point674428,911,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point573731,290,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point592540,723,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point668953,232,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841179,680,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747264,402,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point656176,1253,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842019,1092,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747050,1073,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point640266,783,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648891,958,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point656128,1183,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748081,1193,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747269,1166,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point669075,725,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2565241,435,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748086,1111,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point638549,1226,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point604933,508,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841176,350,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point611060,565,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point641574,162,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point577921,1093,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point634872,1152,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point636019,768,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point610401,481,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point641477,407,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841967,777,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747056,1009,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747524,1091,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2578138,1247,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point599349,809,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point582866,429,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point651368,509,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point570141,1098,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point566391,987,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632311,1029,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point647108,845,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point667203,982,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point623781,1250,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746881,300,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point577347,321,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748043,776,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point628653,960,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842231,476,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841970,371,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point636690,404,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point625700,1099,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1766401,940,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point646758,1236,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point605549,309,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point672690,33,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point674517,517,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point579909,756,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point634152,355,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point615932,1115,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point562764,1195,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2449359,418,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614579,248,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point563436,829,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point595720,879,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632394,484,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535393,450,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point637905,942,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point639727,965,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841949,1213,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point644039,1026,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point650674,1112,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point601923,1129,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point603015,753,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point571979,1169,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point592434,648,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point650762,1002,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point570098,1217,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535398,716,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842238,531,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748590,933,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point568937,935,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point568317,772,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747259,1021,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point630526,642,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535391,632,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point646974,1094,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point565233,473,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535399,10,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2996625,1237,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632351,243,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point599079,1041,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point564616,102,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point642202,1117,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841962,108,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835298,1131,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point671469,718,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point673305,375,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748083,1258,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point594532,1107,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point624999,615,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point599435,959,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point658010,764,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point564523,480,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535390,728,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747262,1079,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point591984,1081,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point665423,1140,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748593,455,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point608568,1188,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2578161,1011,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point580996,1209,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584659,1087,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2529334,291,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747275,1153,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point566435,988,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point670860,606,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point664069,269,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842016,1184,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point663579,1233,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point626965,396,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841972,1134,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point618383,1102,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2516293,930,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point676804,137,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point645239,324,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point623192,585,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746882,974,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point615842,621,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835295,1232,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point664028,526,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842239,1227,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point639684,490,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648846,1256,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point678130,142,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835296,1100,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632936,1076,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point626874,1020,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841965,202,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835299,1170,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747529,173,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747309,1180,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2588349,433,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842086,226,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point647065,1189,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748079,440,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point635975,592,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747265,101,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841654,628,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590876,1010,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842234,750,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point641616,781,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842333,760,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841189,849,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point593855,159,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point633028,91,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748496,841,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point3005552,463,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2610300,968,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841973,76,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2501910,826,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point601889,1064,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point573684,1199,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747531,1161,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point655037,267,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748088,820,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747270,477,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point650632,1248,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835293,991,0.001,0.0003,0.0,0.0,,1.0,True,wye
