loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
5.759192288024562e-06,cable3338180,,421,839,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0002124202620008832,cable1124677,,404,343,0.039252055,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518371903212203e-05,cable1131420,,676,92,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
,cable3246211,,266,71,0.0254998381,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759189199868617e-06,cable3339042,,9,632,0.057062021100000006,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518379048554602e-05,cable1186103,,542,73,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741087755890757e-06,cable1122795,,899,278,0.0306543446,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.0077232591670754e-11,cable3338642,,810,677,0.0190305785,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.75919862444435e-06,cable3338991,,757,1049,0.0116562644,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0001415656048602764,geo_schematic_cable27943,,160,68,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1086314751519846e-05,cable1246061,,505,347,0.0396920106,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7410898807330305e-06,cable1115430,,278,998,0.0278992619,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741090139704919e-06,cable3336710,,700,601,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.000169827041681,cable3976902,,373,491,0.0132018502,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518384576049124e-05,cable2798315,,15,642,0.0119209139,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00032920456733223386,busbar355172,,841,183,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00012224763284369327,cable1219505,,241,64,0.0285107225,0.258,0.3596,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar255620,,93,1250,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759192288024562e-06,cable3338933,,743,1104,0.010291927,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759189524277302e-06,cable3338947,,627,1212,0.010989866499999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0022416153316243,cable1169914,,1150,285,0.0926866005,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
1.3825849052988097e-11,geo_schematic_cable36515,,527,782,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0001732975597240218,simulated23506966_24071491,,255,446,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
2.0738773579482144e-11,geo_schematic_cable25610,,288,217,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.7277554282156683e-05,cable1144966,,461,980,0.0122860132,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.9552703242058977e-11,cable1508104,,710,275,0.050704296399999994,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759190012982163e-06,cable3338187,,589,813,0.0129520847,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741096461185043e-06,cable3336365,,557,1068,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518378155385229e-05,cable2766728,,502,668,0.0195210458,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518379132797101e-05,cable1173898,,335,437,0.0205341883,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7591859516061014e-06,cable3339035,,434,1239,0.0119553724,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741091020636925e-06,cable3338327,,43,16,0.0287025963,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,geo_schematic_cable34381,,1101,838,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759189524277301e-06,cable3338995,,647,1055,0.0115845795,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759198624444349e-06,cable3338204,,355,1215,0.0106092309,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.543160639715825e-06,cable3341626,,550,1128,0.0221196911,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.803672489701592e-06,simulated103968618_324538,,564,1019,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
2.296435439230436e-05,cable1121279,,883,790,0.0393975605,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759189524277301e-06,cable1218985,,362,1145,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
4.98884380301097e-05,geo_schematic_cable36469,,874,37,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
