,vm_pu,name,vn_kv,type,zone,in_service
322,0.9514778120218542,cubicle49322,11.0,b,,True
323,0.9677038222174387,node23529726,11.0,b,,True
324,0.9514777830853635,cn-cable3338144-t2,11.0,b,,True
325,0.9514778035607503,node71578689,11.0,b,,True
326,0.9672544310858967,cn-geo_schematic_cable14366-t1,11.0,b,,True
327,0.981923529571767,node22932783,11.0,b,,True
328,0.96725437594662,cn-cable3338645-t2,11.0,b,,True
329,0.9885589243269229,cubicle34222,11.0,b,,True
330,0.9677038362893824,cubicle50763,11.0,b,,True
331,0.9514778148171492,node57578126,11.0,b,,True
332,0.9885589521969491,node23015020,11.0,b,,True
333,0.9677038279395,node23319268,11.0,b,,True
334,0.9514777438238851,cubicle34606,11.0,b,,True
335,0.9514777870670237,cubicle34488,11.0,b,,True
336,0.9672543735250451,node31975379,11.0,b,,True
337,0.9544772308518533,cubicle48221,11.0,b,,True
338,0.9672543710550376,node67194574,11.0,b,,True
339,0.9677038264646927,node69877043,11.0,b,,True
340,0.9984841316106025,node161553390,11.0,b,,True
341,0.9819235293082588,cn-simulated24153826_100933-t2,11.0,b,,True
342,0.9885589149633338,node60264191,11.0,b,,True
343,0.9544772541490455,node69935613,11.0,b,,True
344,0.9819235093632458,node52761090,11.0,b,,True
345,0.9544772981649648,cubicle38103,11.0,b,,True
346,0.967703847427937,cn-geo_schematic_cable27944-t1,11.0,b,,True
347,0.9514778052805333,node67193212,11.0,b,,True
348,0.9514777936318155,cubicle40252,11.0,b,,True
349,0.9819235089094299,cubicle77077,11.0,b,,True
350,0.9672544025338068,cn-cable3338665-t2,11.0,b,,True
351,0.9677038119114896,cubicle102861,11.0,b,,True
352,0.9885589241909848,cn-cable3341615-t2,11.0,b,,True
353,0.9514778119798961,cubicle40156,11.0,b,,True
354,0.9544772080480324,cn-cable3336369-t2,11.0,b,,True
355,0.9677038316773207,cn-cable3338259-t2,11.0,b,,True
356,0.9672544118698989,node74192331,11.0,b,,True
357,0.9819235088000139,cn-cable3338288-t2,11.0,b,,True
358,0.9544772386754633,cubicle49393,11.0,b,,True
359,0.9544772356984643,cubicle50506,11.0,b,,True
360,0.9514777662786904,cn-cable3338180-t2,11.0,b,,True
361,0.9514778363951152,node101119362,11.0,b,,True
362,0.9514778052548718,cn-cable3339049-t2,11.0,b,,True
363,0.9672543832974391,cubicle43221,11.0,b,,True
364,0.9672543925618504,node67195581,11.0,b,,True
365,0.9514777972681435,cubicle34608,11.0,b,,True
366,0.9672543927247906,cubicle50237,11.0,b,,True
367,0.9514777272962118,cubicle43676,11.0,b,,True
368,0.951477779970819,node237087015,11.0,b,,True
369,0.9677038631932893,cn-geo_schematic_cable27945-t1,11.0,b,,True
370,0.9544772373373427,node69935927,11.0,b,,True
371,0.9672543881217861,cn-cable3338480-t2,11.0,b,,True
372,0.9544772878412101,node69935686,11.0,b,,True
373,0.9514778336786424,cn-geo_schematic_cable14330-t1,11.0,b,,True
374,0.981923505326472,cubicle111008,11.0,b,,True
375,0.9544772074461602,cn-cable3336385-t2,11.0,b,,True
376,0.9514777691057292,cubicle50353,11.0,b,,True
377,0.9514778099387243,cubicle42546,11.0,b,,True
378,0.9984463102085847,node24046367,11.0,b,,True
379,0.9514777566945474,cubicle42435,11.0,b,,True
380,0.9819235223462697,cubicle77072,11.0,b,,True
381,0.9677038142432873,node69876797,11.0,b,,True
382,0.9672543776350885,cn-cable3338680-t2,11.0,b,,True
383,0.9672544093678774,cubicle40841,11.0,b,,True
384,0.9819235053401246,cn-cable3771840-t2,11.0,b,,True
385,0.9544772871258733,node58449850,11.0,b,,True
386,0.967254397271576,cubicle43093,11.0,b,,True
387,0.9514777404871307,node71578321,11.0,b,,True
388,0.9514777710934993,node102516890,11.0,b,,True
389,0.9514777719135749,node71579154,11.0,b,,True
390,0.9544772150889587,node69936226,11.0,b,,True
391,0.9885589439995836,cn-geo_schematic_cable233372-t2,11.0,b,,True
392,0.9984344558191945,node57577957,11.0,b,,True
393,0.9677038218686977,cubicle47400,11.0,b,,True
394,0.9514777753136033,node69622925,11.0,b,,True
395,0.95147778943071,cubicle46985,11.0,b,,True
396,0.9514777995081517,cn-cable3339092-t2,11.0,b,,True
397,0.9819235104854029,cubicle77076,11.0,b,,True
398,0.9975416662668403,node23253360,11.0,b,,True
399,0.9819235288058513,node59283145,11.0,b,,True
400,0.9672543801216293,node67195771,11.0,b,,True
401,0.951477807263966,node23220059,11.0,b,,True
402,0.9544772531531549,cn-cable3336350-t2,11.0,b,,True
403,0.9514778104605841,node71579238,11.0,b,,True
404,0.9544772145269509,cn-cable3336361-t2,11.0,b,,True
405,0.9672543779447922,node67196314,11.0,b,,True
406,0.9672543945410526,cn-cable3338661-t2,11.0,b,,True
407,0.9677038363314033,cn-cable3339124-t2,11.0,b,,True
408,0.9993191032718965,node141770964,11.0,b,,True
409,0.9984841116561739,cn-busbar355180-t2,11.0,b,,True
410,0.9885589149633336,node60264190,11.0,b,,True
411,0.9677038131186648,cubicle39448,11.0,b,,True
412,0.9514777892979215,cn-cable3338950-t2,11.0,b,,True
413,0.9819235119306281,node79493030,11.0,b,,True
414,0.9514777810749168,cn-cable3338930-t2,11.0,b,,True
415,0.9677038361377537,cn-cable3338215-t2,11.0,b,,True
416,0.9544772201304738,cubicle38012,11.0,b,,True
417,0.9514777271832947,cn-cable3338867-t2,11.0,b,,True
418,0.967254385693958,cn-cable3338471-t2,11.0,b,,True
419,0.951477781048106,cubicle40150,11.0,b,,True
420,0.9514777708676653,cubicle44684,11.0,b,,True
421,0.9984462903059854,node24234571,11.0,b,,True
422,0.9514778010993798,node67193148,11.0,b,,True
423,0.951477782102839,node71578941,11.0,b,,True
424,0.9544771986720273,cubicle68128,11.0,b,,True
425,0.9672543760727522,node65782500,11.0,b,,True
426,0.9677038518688825,cn-geo_schematic_cable27951-t2,11.0,b,,True
427,0.9677038222507908,node69876993,11.0,b,,True
428,0.9544772657500917,node69935872,11.0,b,,True
429,0.9514777233027221,cn-cable3338862-t2,11.0,b,,True
430,0.9993467766397414,node23167832,11.0,b,,True
431,0.9677038260031239,cn-cable3338256-t2,11.0,b,,True
432,0.9544771966066254,cn-cable2727646-t2,11.0,b,,True
433,0.9677038439163115,cn-cable3338213-t2,11.0,b,,True
434,0.9672543781019501,cubicle44051,11.0,b,,True
435,0.9514777598198798,cn-cable3731921-t2,11.0,b,,True
436,0.9514778102347502,cubicle43678,11.0,b,,True
437,0.9885589046435694,cubicle45569,11.0,b,,True
438,0.9514778431093889,node57578110,11.0,b,,True
439,,cn-cable3246211-t1,11.0,b,,True
440,0.9672543894006838,cn-cable3338685-t2,11.0,b,,True
441,0.9514777977747608,node67193045,11.0,b,,True
442,0.9544771966241086,cn-cable2727648-t2,11.0,b,,True
443,0.9819235224556856,node36726543,11.0,b,,True
444,0.9672544022063599,node67196002,11.0,b,,True
445,0.997989378031536,node23506966,11.0,b,,True
446,0.99802759281411,node23378215,11.0,b,,True
447,0.9514778145474044,node22943741,11.0,b,,True
448,0.9514777645034964,node67193477,11.0,b,,True
449,0.967703819157456,cubicle40584,11.0,b,,True
450,0.9819235053074588,cn-cable3338323-t2,11.0,b,,True
451,0.9984462903059854,node24046337,11.0,b,,True
452,0.9544772616248749,cubicle39241,11.0,b,,True
453,0.9672543809264749,cubicle48772,11.0,b,,True
454,0.9819235099611437,node79493008,11.0,b,,True
