loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords,geometry
5.759197647043308e-06,cable3338904,,15,971,0.012587967700000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777440266916,cubicle43565,11.0,b,,True,cubicle43565,11.0,b,,True,152.913762,-31.466483,,POINT (152.913762 -31.466483)
5.759190012982163e-06,cable3338905,,15,581,0.0128090927,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777440266916,cubicle43565,11.0,b,,True,cubicle43565,11.0,b,,True,152.913762,-31.466483,,POINT (152.913762 -31.466483)
0.0,geo_schematic_cable233370,,423,274,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589400371317,node23015020,11.0,b,,True,node23015020,11.0,b,,True,152.895606,-31.4621773,,POINT (152.895606 -31.4621773)
0.0,geo_schematic_cable233324,,423,752,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589400371317,node23015020,11.0,b,,True,node23015020,11.0,b,,True,152.895606,-31.4621773,,POINT (152.895606 -31.4621773)
0.00012224769785932,cable1219505,,100,418,0.0285107225,0.258,0.3596,0.001,0.0,1000.0,1.0,1,,True,0.9998123761381527,node23148406,11.0,b,,True,node23148406,11.0,b,,True,152.895642,-31.4621709,,POINT (152.895642 -31.4621709)
0.0022651447760503136,cable1235105,,100,669,0.0636448308,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True,0.9998123761381527,node23148406,11.0,b,,True,node23148406,11.0,b,,True,152.895642,-31.4621709,,POINT (152.895642 -31.4621709)
0.0004810750686525944,geo_schematic_cable14133,,728,94,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514778117288712,node57578109,11.0,b,,True,node57578109,11.0,b,,True,152.914673,-31.4667639,,POINT (152.914673 -31.4667639)
3.3991467550125325e-05,cable1181390,,972,374,0.0382591068,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543769241371,node67195367,11.0,b,,True,node67195367,11.0,b,,True,152.905748,-31.4661841,,POINT (152.905748 -31.4661841)
1.13304977740699e-05,cable1184230,,972,486,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543769241371,node67195367,11.0,b,,True,node67195367,11.0,b,,True,152.905748,-31.4661841,,POINT (152.905748 -31.4661841)
0.0,busbar254546,,420,367,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9993467152731162,node84142412,11.0,b,,True,node84142412,11.0,b,,True,152.89365,-31.4661027,,POINT (152.89365 -31.4661027)
