,name,vn_kv,type,zone,in_service,x,y,coords
161,cubicle48199,11.0,b,,True,152.915804,-31.4673154,
162,cn-cable3338149-t2,11.0,b,,True,152.916758,-31.4684216,
163,node67195503,11.0,b,,True,152.906383,-31.4656702,
164,node29539460,11.0,b,,True,152.896339,-31.4618081,
165,node23032596,11.0,b,,True,152.916345,-31.467764,
166,cn-geo_schematic_cable27949-t2,11.0,b,,True,152.9124,-31.4676511,
167,node150179237,11.0,b,,True,152.899895,-31.4666596,
168,cn-geo_schematic_cable14468-t1,11.0,b,,True,152.91467,-31.4667244,
169,node67194808,11.0,b,,True,152.905812,-31.4652794,
170,cubicle47109,11.0,b,,True,152.921594,-31.4700325,
171,node84145216,11.0,b,,True,152.919022,-31.4706163,
172,node67195949,11.0,b,,True,152.907827,-31.4663992,
173,cn-cable3338861-t2,11.0,b,,True,152.912216,-31.4663321,
174,cubicle46514,11.0,b,,True,152.905251,-31.4652386,
175,cn-geo_schematic_cable22430-t1,11.0,b,,True,152.920946,-31.4708519,
176,cn-busbar251730-t2,11.0,b,,True,152.896035,-31.4674921,
177,cn-cable3338183-t2,11.0,b,,True,152.915128,-31.4689042,
178,cn-cable3336356-t2,11.0,b,,True,152.921184,-31.4694784,
179,node57577389,11.0,b,,True,152.905992,-31.4653076,
180,cubicle36854,11.0,b,,True,152.917428,-31.4685248,
181,cn-cable3339096-t2,11.0,b,,True,152.911683,-31.4682739,
182,cn-cable3338870-t2,11.0,b,,True,152.912601,-31.4662289,
183,cubicle44233,11.0,b,,True,152.906694,-31.4663332,
184,cn-geo_schematic_cable1846-t1,11.0,b,,True,152.914658,-31.4667709,
185,cubicle39130,11.0,b,,True,152.915617,-31.4684477,
186,node29539805,11.0,b,,True,152.900356,-31.4664187,
187,node67195527,11.0,b,,True,152.906474,-31.4660412,
188,node124410738,11.0,b,,True,152.898269,-31.4661434,
189,cubicle35614,11.0,b,,True,152.915229,-31.4657073,
190,cubicle48307,11.0,b,,True,152.920946,-31.470882,
191,cubicle41305,11.0,b,,True,152.915939,-31.4666438,
192,cn-cable3338223-t2,11.0,b,,True,152.910879,-31.4674396,
193,cn-cable3338203-t2,11.0,b,,True,152.91439,-31.4682953,
194,node31975369,11.0,b,,True,152.904672,-31.464656,
195,cubicle34374,11.0,b,,True,152.907151,-31.4652686,
196,node23166608,11.0,b,,True,152.9226,-31.4686532,
197,node151101321,11.0,b,,True,152.896034,-31.4674896,
198,node67193267,11.0,b,,True,152.915341,-31.468978,
199,node69936141,11.0,b,,True,152.921244,-31.4699816,
200,node60063915,11.0,b,,True,152.92228,-31.4711877,
201,cn-cable3338328-t2,11.0,b,,True,152.922947,-31.4696819,
202,cn-cable3338473-t2,11.0,b,,True,152.906231,-31.4658675,
203,node65782801,11.0,b,,True,152.911199,-31.4674823,
204,node23214017,11.0,b,,True,152.896032,-31.4626718,
205,cubicle41722,11.0,b,,True,152.91344,-31.4677064,
206,node161553353,11.0,b,,True,152.909593,-31.4664215,
207,node67193066,11.0,b,,True,152.91435,-31.4690557,
208,node103968671,11.0,b,,True,152.91839,-31.4680659,
209,cn-busbar254954-t1,11.0,b,,True,152.91903,-31.4706068,
210,node67193396,11.0,b,,True,152.91634,-31.4677813,
211,node23009517,11.0,b,,True,152.900194,-31.4667549,
212,cubicle50360,11.0,b,,True,152.91381,-31.4663258,
213,node67194635,11.0,b,,True,152.90486,-31.4638379,
214,cn-cable3338866-t2,11.0,b,,True,152.912308,-31.4660772,
215,node69876550,11.0,b,,True,152.909441,-31.4664546,
216,cubicle43556,11.0,b,,True,152.915713,-31.4660515,
217,node67193520,11.0,b,,True,152.917412,-31.4686937,
218,node23226227,11.0,b,,True,152.920073,-31.4682914,
219,node67193200,11.0,b,,True,152.914839,-31.4682144,
220,node67193582,11.0,b,,True,152.917534,-31.4687279,
221,node71578497,11.0,b,,True,152.914539,-31.4671013,
222,cn-geo_schematic_cable233371-t1,11.0,b,,True,152.89561,-31.4621766,
223,cubicle40374,11.0,b,,True,152.920668,-31.4706906,
224,cubicle44805,11.0,b,,True,152.913114,-31.4661885,
225,node69936064,11.0,b,,True,152.921846,-31.4701204,
226,cn-cable3338175-t2,11.0,b,,True,152.916153,-31.4685465,
227,cubicle97111,11.0,b,,True,152.920737,-31.4682467,
228,node100121487,11.0,b,,True,152.916922,-31.4677077,
229,cn-cable3338667-t2,11.0,b,,True,152.90654,-31.4657573,
230,cubicle39162,11.0,b,,True,152.922217,-31.4710278,
231,cubicle42166,11.0,b,,True,152.894481,-31.4625961,
232,cn-cable3339099-t2,11.0,b,,True,152.911065,-31.4679634,
233,cubicle45950,11.0,b,,True,152.915665,-31.4682904,
