name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable3338465,,155,1006,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1130475,,960,855,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable61754,,185,668,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338944,,365,923,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1134196,,736,192,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2187620,,347,969,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated24502843_202755,,724,74,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338488,,30,900,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338868,,741,384,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3269446,,303,1203,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338901,,119,1022,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338997,,373,827,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3261195,,594,451,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338283,,144,981,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339040,,120,891,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1153989,,154,1125,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338174,,564,745,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1226201,,118,229,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338207,,21,697,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338875,,187,366,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338915,,415,908,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1128596,,71,736,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar254971,,720,240,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1137359,,704,22,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2768851,,441,1104,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1179228,,53,741,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336366,,226,406,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable60888,,105,912,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338181,,39,1114,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2798317,,67,71,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3269442,,672,873,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1199340,,962,265,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338904,,467,552,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1199177,,760,667,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2085237,,791,128,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable27945,,1013,719,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1171182,,456,685,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar254542,,244,1205,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2797795,,204,226,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1165522,,157,186,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339031,,462,289,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341612,,352,819,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338648,,383,1141,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1216504,,98,497,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1192592,,46,390,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
