loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type
1.9552703242058977e-11,busbar254540,,803,417,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759187047002925e-06,cable3338176,,414,859,0.049479562199999993,0.001,0.001,0.001,0.0,1000.0,1.0,
5.18327206410091e-05,cable1128596,,686,533,0.041526105,0.001,0.001,0.001,0.0,1000.0,1.0,
1.151837271213277e-05,cable1216504,,171,80,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.133049151164016e-05,cable1172455,,14,944,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759192288024562e-06,cable3338863,,40,261,0.0116523094,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665252648299394e-06,cable3338471,,703,795,0.0137980017,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,geo_schematic_cable23105,,140,967,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.183268822585193e-05,cable2125685,,388,226,0.0394621515,0.001,0.001,0.001,0.0,1000.0,1.0,
5.812742977827873e-11,cable1508107,,997,338,0.0590011238,0.001,0.001,0.001,0.0,1000.0,1.0,
5.7591881845239155e-06,cable3339049,,272,392,0.036407536,0.001,0.001,0.001,0.0,1000.0,1.0,
6.335107434388005e-05,cable3339034,,305,388,0.0392817439,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,geo_schematic_cable34381,,613,738,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
6.889305068892838e-05,cable1198357,,1172,42,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable1200267,,79,793,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,busbar251729,,465,799,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759193096962884e-06,cable3338170,,656,677,0.0116006781,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0001151836977310209,geo_schematic_cable1851,,645,685,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0003227693039226529,geo_schematic_cable27945,,1008,804,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.000101974454585758,cable1177224,,884,543,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
