loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu,name_NODE1,vn_kv,x,y
5.759183187855799e-06,cable3339031,,226,423,0.01349736,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777868035181,node35591462,11.0,152.917556,-31.4679393
1.1325247881192927e-05,cable1203186,,61,925,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038491672041,node69877101,11.0,152.912688,-31.4681489
1.1325239125720767e-05,cable1165522,,61,332,0.028068766,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038491672041,node69877101,11.0,152.912688,-31.4681489
5.096356221262777e-05,cable1138253,,61,716,0.055792946100000004,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038491672041,node69877101,11.0,152.912688,-31.4681489
0.0,cable1163647,,61,1077,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038491672041,node69877101,11.0,152.912688,-31.4681489
5.240488104615892e-07,busbar355182,,1232,980,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9984841115509322,cn-busbar355182-t1,11.0,152.909572,-31.4664393
5.580620839915739e-06,cable3338322,,56,783,0.0126573637,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235066473911,cubicle77073,11.0,152.922017,-31.4684283
1.1518372712132767e-05,cable1117952,,326,1010,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777572157826,node71579187,11.0,152.915788,-31.467313
0.0,cable1197187,,326,672,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777572157826,node71579187,11.0,152.915788,-31.467313
1.151837458271223e-05,cable1157552,,326,659,0.0165595117,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777572157826,node71579187,11.0,152.915788,-31.467313
7.254804608056282e-05,geo_schematic_cable23101,,737,1116,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235181401161,cn-geo_schematic_cable23101-t1,11.0,152.922378,-31.4684294
1.1518385384977102e-05,cable1116166,,97,629,0.0124332067,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777845736119,cubicle33467,11.0,152.914179,-31.4691294
2.3218835099945036e-11,cable1508105,,674,701,0.0352831702,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9990955938792835,node29539811,11.0,152.900033,-31.4662794
1.4664527431544236e-11,cable1508110,,674,416,0.0443029076,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9990955938792835,node29539811,11.0,152.900033,-31.4662794
1.1518376284812571e-05,cable1201318,,709,309,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777515282159,node67193477,11.0,152.916818,-31.4686415
4.03143245212565e-05,cable1158124,,709,833,0.0381877506,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777515282159,node67193477,11.0,152.916818,-31.4686415
1.1518384491807183e-05,cable1151879,,709,181,0.016596330300000003,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777515282159,node67193477,11.0,152.916818,-31.4686415
0.00032307080761041627,simulated69876900_24069238,,959,422,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9983182368396677,node69876900,11.0,152.912357,-31.4671564
5.759179615188964e-06,cable3338942,,643,785,0.0113522499,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777973931513,cubicle34596,11.0,152.915071,-31.4673142
5.759195860700131e-06,cable3338943,,643,700,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777973931513,cubicle34596,11.0,152.915071,-31.4673142
5.741086615985959e-06,cable3336718,,760,824,0.0125843538,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772347796804,cubicle49393,11.0,152.921653,-31.4729085
5.741090139704921e-06,cable3336717,,760,899,0.011548114699999999,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772347796804,cubicle49393,11.0,152.921653,-31.4729085
0.0,busbar254972,,432,18,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9980275926366866,node84145216,11.0,152.919022,-31.4706163
0.0,busbar254942,,432,279,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9980275926366866,node84145216,11.0,152.919022,-31.4706163
1.1086335235853197e-05,cable1192904,,92,772,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589234294406,node67831042,11.0,152.894447,-31.4624494
1.6629472915463235e-05,cable1189613,,92,1160,0.0166409524,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589234294406,node67831042,11.0,152.894447,-31.4624494
5.543155788842306e-05,cable1106907,,92,289,0.0331635644,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589234294406,node67831042,11.0,152.894447,-31.4624494
5.741083818226161e-06,cable3336354,,236,702,0.011533185,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772190540286,cubicle34619,11.0,152.921155,-31.4697341
5.741090139704919e-06,cable3336355,,236,1221,0.0113026423,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772190540286,cubicle34619,11.0,152.921155,-31.4697341
1.1482178309547018e-05,cable1114783,,957,449,0.0133543393,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772830858149,node69935824,11.0,152.921845,-31.4713582
0.00010763979094309641,geo_schematic_cable14365,,19,357,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672544168081924,node57577398,11.0,152.905987,-31.4653164
0.00022094466107671268,geo_schematic_cable14111,,19,403,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672544168081924,node57577398,11.0,152.905987,-31.4653164
4.988841897063355e-05,geo_schematic_cable36467,,211,1078,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589146134479,node60264070,11.0,152.893751,-31.4627859
5.759186760537015e-06,cable3338871,,315,1059,0.0116615864,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777122990802,cubicle45948,11.0,152.912435,-31.4664598
5.759189524277301e-06,cable3338873,,315,1223,0.0109790831,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777122990802,cubicle45948,11.0,152.912435,-31.4664598
1.1086325931571964e-05,cable1112314,,669,579,0.0118787184,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589074056297,node67830893,11.0,152.894197,-31.4632727
1.1086304321776168e-05,cable1179929,,669,227,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589074056297,node67830893,11.0,152.894197,-31.4632727
5.662618512411423e-06,cable3339121,,332,907,0.0177201258,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038485439454,cubicle49635,11.0,152.912399,-31.4681971
5.662620176058448e-06,cable3339120,,332,921,0.0190895702,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038485439454,cubicle49635,11.0,152.912399,-31.4681971
