loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu_NODE1,name_NODE1,vn_kv_NODE1,x_NODE1,y_NODE1,vm_pu_NODE2,name,vn_kv_NODE2,x_NODE2,y_NODE2
1.1518378239630331e-05,cable3888795,,509,172,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777471833514,cubicle33452,11.0,152.91769,-31.4686642,0.9514777469575174,cubicle35717,11.0,152.917695,-31.4686252
5.759198624444349e-06,cable3338154,,509,694,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777471833514,cubicle33452,11.0,152.91769,-31.4686642,0.9514777470704342,cn-cable3338154-t2,11.0,152.917714,-31.4687427
2.848845211627959e-11,cable1232330,,653,1052,0.0617037786,0.1443,0.3363,0.001,0.0,1000.0,1.0,,0.9989276280134848,node22997808,11.0,152.904028,-31.4671829,0.998927628014289,node33911479,11.0,152.903923,-31.4677301
0.002241615088815452,cable2937656,,653,812,0.0146647772,0.1443,0.3363,0.001,0.0,1000.0,1.0,,0.9989276280134848,node22997808,11.0,152.904028,-31.4671829,0.9989144827531244,cn-cable2937656-t2,11.0,152.904178,-31.4672275
1.1285699200585915e-05,cable1108327,,653,1237,0.530241357,0.5789,0.385,0.001,0.0,1000.0,1.0,,0.9989276280134848,node22997808,11.0,152.904028,-31.4671829,0.9989212892497957,cn-cable1108327-t2,11.0,152.904229,-31.4661977
5.58060846937725e-06,cable3338340,,133,354,0.013158845700000001,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235097225557,node101116406,11.0,152.921941,-31.4685613,0.9819235095785773,cn-cable3338340-t2,11.0,152.921824,-31.4686239
4.46449701208772e-05,cable1139853,,133,794,0.0423393361,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235097225557,node101116406,11.0,152.921941,-31.4685613,0.9819235060164813,node22955028,11.0,152.921499,-31.4685212
5.58061465464564e-06,cable3338343,,133,730,0.012385458,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235097225557,node101116406,11.0,152.921941,-31.4685613,0.9819235095870392,cn-cable3338343-t2,11.0,152.922012,-31.4686541
5.4913800830675165e-06,cable3338483,,60,401,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9978799589033366,node23427399,11.0,152.904518,-31.4626351,0.9978799587956704,cn-cable3338483-t2,11.0,152.904427,-31.4626327
5.491370548948015e-06,cable1194553,,60,483,0.044417082299999994,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9978799589033366,node23427399,11.0,152.904518,-31.4626351,0.9978799584251168,node23196578,11.0,152.904886,-31.462879
