,name,vn_kv,type,x,y,coords
382,node71578708,11.0,b,152.91335,-31.4670396,
383,cubicle43985,11.0,b,152.911958,-31.4686584,
384,node69936372,11.0,b,152.912529,-31.4661908,
385,cn-cable3336729-t2,11.0,b,152.920955,-31.4708875,
386,node84625509,11.0,b,152.91597,-31.4676746,
387,cubicle77078,11.0,b,152.921242,-31.4683175,
388,node101119328,11.0,b,152.917147,-31.4678866,
389,node67195503,11.0,b,152.906418,-31.4657105,
390,node161553431,11.0,b,152.909545,-31.4664216,
391,node67193045,11.0,b,152.914186,-31.4691174,
392,cn-cable3339049-t2,11.0,b,152.916882,-31.4668117,
393,cubicle36749,11.0,b,152.915506,-31.4666161,
394,node36726527,11.0,b,152.921246,-31.4683259,
395,cubicle39443,11.0,b,152.913241,-31.4676597,
396,cubicle38311,11.0,b,152.911365,-31.467521,
397,cubicle37985,11.0,b,152.920968,-31.4687653,
398,cubicle49220,11.0,b,152.914608,-31.466315,
399,cn-cable3338222-t2,11.0,b,152.910977,-31.4673646,
400,node67195771,11.0,b,152.907348,-31.4656915,
401,cn-cable3338483-t2,11.0,b,152.904427,-31.4626327,
402,cn-cable1218152-t1,11.0,b,152.903356,-31.4671235,
403,node57577389,11.0,b,152.905992,-31.4653076,
404,node67193367,11.0,b,152.915621,-31.4684345,
405,cn-cable3341619-t2,11.0,b,152.894556,-31.4626398,
406,node36726501,11.0,b,152.920603,-31.4682323,
407,cubicle33777,11.0,b,152.911282,-31.4683033,
408,cn-cable1133130-t1,11.0,b,152.91178,-31.4670577,
409,cubicle33355,11.0,b,152.9157,-31.4668783,
410,cn-cable3338188-t2,11.0,b,152.914516,-31.4687495,
411,node69936009,11.0,b,152.922073,-31.4700642,
412,node141207713,11.0,b,152.898278,-31.4665638,
413,cn-cable3339035-t2,11.0,b,152.917039,-31.4679421,
414,cubicle37996,11.0,b,152.916102,-31.468533,
415,cn-busbar87086-t2,11.0,b,152.896034,-31.4675006,
416,node150179237,11.0,b,152.899895,-31.4666596,
