,vm_pu,name,vn_kv,type,x,y,coords
147,0.9514777990465609,cubicle49322,11.0,b,152.914521,-31.4672716,
148,0.951477798672718,cn-cable1236568-t1,11.0,b,152.916343,-31.4677726,
149,0.9514777479588276,cn-cable3338151-t2,11.0,b,152.917334,-31.4684664,
150,0.9987528439985979,node23065974,11.0,b,152.907996,-31.4678503,
151,0.9514777851301539,node57578106,11.0,b,152.914683,-31.4667267,
152,0.9672543695510049,cubicle69504,11.0,b,152.904993,-31.4632555,
153,0.9544772497892688,node69935902,11.0,b,152.920848,-31.4705966,
154,0.9514777681113,node71578957,11.0,b,152.915193,-31.4656321,
155,0.951477747522102,node67193541,11.0,b,152.917673,-31.4686599,
156,0.9544772505983286,node69935554,11.0,b,152.920533,-31.4719448,
157,0.9544772124544724,cubicle34591,11.0,b,152.9217,-31.4691409,
158,0.9544772571319461,cubicle46068,11.0,b,152.920797,-31.4715627,
159,0.9544772931355805,node58449876,11.0,b,152.920958,-31.4708469,
160,0.9514777841799104,cn-cable3338200-t2,11.0,b,152.914276,-31.4691855,
161,0.9885589126571827,node60264081,11.0,b,152.894155,-31.4632862,
162,0.9885589296313998,cubicle33092,11.0,b,152.894849,-31.4623445,
163,0.951477799972175,node71578611,11.0,b,152.914559,-31.4669988,
164,0.9672543772643486,node67195828,11.0,b,152.907327,-31.4659871,
165,0.9514777151967228,cn-cable3338868-t2,11.0,b,152.912492,-31.4660061,
166,0.9544772269560952,cubicle48221,11.0,b,152.921244,-31.4699828,
167,0.9544772881828494,cn-geo_schematic_cable22431-t1,11.0,b,152.920941,-31.4708425,
168,0.9514777480840548,cubicle36854,11.0,b,152.917428,-31.4685248,
